Time treatment begin,Treatment total cost
367,4.3344
368,4.3344
369,4.3344
370,4.3344
371,4.3344
372,4.3043
373,4.3043
374,4.3043
375,4.3043
376,4.3043
377,4.3043
378,4.3043
379,4.3043
380,4.3043
381,4.2741999999999996
382,4.2741999999999996
383,4.2741999999999996
384,4.2741999999999996
385,4.2741999999999996
386,4.2741999999999996
387,4.2741999999999996
388,4.2741999999999996
389,4.2741999999999996
390,4.2741999999999996
391,4.2440999999999995
392,4.2440999999999995
393,4.2440999999999995
394,4.2440999999999995
395,4.2440999999999995
396,4.2440999999999995
397,4.2440999999999995
398,4.2440999999999995
399,4.2440999999999995
400,4.214
401,4.214
402,4.214
403,4.214
404,4.214
405,4.214
406,4.214
407,4.214
408,4.214
409,4.1839
410,4.1839
411,4.1839
412,4.1839
413,4.1839
414,4.1839
415,4.1839
416,4.1839
417,4.1839
418,4.1839
419,4.1538
420,4.1538
421,4.1538
422,4.1538
423,4.1538
424,4.1538
425,4.1538
426,4.1538
427,4.1538
428,4.1237
429,4.1237
430,4.1237
431,4.1237
432,4.1237
433,4.1237
434,4.1237
435,4.1237
436,4.1237
437,4.0936
438,4.0936
439,4.0936
440,4.0936
441,4.0936
442,4.0936
443,4.0936
444,4.0936
445,4.0936
446,4.0936
447,4.0635
448,4.0635
449,4.0635
450,4.0635
451,4.0635
452,4.0635
453,4.0635
454,4.0635
455,4.0635
456,4.0334
457,4.0334
458,4.0334
459,4.0334
460,4.0334
461,4.0334
462,4.0334
463,4.0334
464,4.0334
465,4.0334
466,4.0033
467,4.0033
468,4.0033
469,4.0033
470,4.0033
471,4.0033
472,4.0033
473,4.0033
474,4.0033
475,3.9732
476,3.9732
477,3.9732
478,3.9732
479,3.9732
480,3.9732
481,3.9732
482,3.9732
483,3.9732
484,3.9732
485,3.9431
486,3.9431
487,3.9431
488,3.9431
489,3.9431
490,3.9431
491,3.9431
492,3.9431
493,3.9431
494,3.913
495,3.913
496,3.913
497,3.913
498,3.913
499,3.913
500,3.913
501,3.913
502,3.913
503,3.913
504,3.8829
505,3.8829
506,3.8829
507,3.8829
508,3.8829
509,3.8829
510,3.8829
511,3.8829
512,3.8829
513,3.8528
514,3.8528
515,3.8528
516,3.8528
517,3.8528
518,3.8528
519,3.8528
520,3.8528
521,3.8528
522,3.8528
523,3.8226999999999998
524,3.8226999999999998
525,3.8226999999999998
526,3.8226999999999998
527,3.8226999999999998
528,3.8226999999999998
529,3.8226999999999998
530,3.8226999999999998
531,3.8226999999999998
532,3.8226999999999998
533,3.7925999999999997
534,3.7925999999999997
535,3.7925999999999997
536,3.7925999999999997
537,3.7925999999999997
538,3.7925999999999997
539,3.7925999999999997
540,3.7925999999999997
541,3.7925999999999997
542,3.7925999999999997
543,3.7624999999999997
544,3.7624999999999997
545,3.7624999999999997
546,3.7624999999999997
547,3.7624999999999997
548,3.7624999999999997
549,3.7624999999999997
550,3.7624999999999997
551,3.7624999999999997
552,3.7624999999999997
553,3.7323999999999997
554,3.7323999999999997
555,3.7323999999999997
556,3.7323999999999997
557,3.7323999999999997
558,3.7323999999999997
559,3.7323999999999997
560,3.7323999999999997
561,3.7323999999999997
562,3.7323999999999997
563,3.7022999999999997
564,3.7022999999999997
565,3.7022999999999997
566,3.7022999999999997
567,3.7022999999999997
568,3.7022999999999997
569,3.7022999999999997
570,3.7022999999999997
571,3.7022999999999997
572,3.7022999999999997
573,3.6721999999999997
574,3.6721999999999997
575,3.6721999999999997
576,3.6721999999999997
577,3.6721999999999997
578,3.6721999999999997
579,3.6721999999999997
580,3.6721999999999997
581,3.6721999999999997
582,3.6721999999999997
583,3.6420999999999997
584,3.6420999999999997
585,3.6420999999999997
586,3.6420999999999997
587,3.6420999999999997
588,3.6420999999999997
589,3.6420999999999997
590,3.6420999999999997
591,3.6420999999999997
592,3.6420999999999997
593,3.6119999999999997
594,3.6119999999999997
595,3.6119999999999997
596,3.6119999999999997
597,3.6119999999999997
598,3.6119999999999997
599,3.6119999999999997
600,3.6119999999999997
601,3.6119999999999997
602,3.6119999999999997
603,3.5818999999999996
604,3.5818999999999996
605,3.5818999999999996
606,3.5818999999999996
607,3.5818999999999996
608,3.5818999999999996
609,3.5818999999999996
610,3.5818999999999996
611,3.5818999999999996
612,3.5818999999999996
613,3.5818999999999996
614,3.5517999999999996
615,3.5517999999999996
616,3.5517999999999996
617,3.5517999999999996
618,3.5517999999999996
619,3.5517999999999996
620,3.5517999999999996
621,3.5517999999999996
622,3.5517999999999996
623,3.5517999999999996
624,3.5216999999999996
625,3.5216999999999996
626,3.5216999999999996
627,3.5216999999999996
628,3.5216999999999996
629,3.5216999999999996
630,3.5216999999999996
631,3.5216999999999996
632,3.5216999999999996
633,3.5216999999999996
634,3.5216999999999996
635,3.4915999999999996
636,3.4915999999999996
637,3.4915999999999996
638,3.4915999999999996
639,3.4915999999999996
640,3.4915999999999996
641,3.4915999999999996
642,3.4915999999999996
643,3.4915999999999996
644,3.4915999999999996
645,3.4615
646,3.4615
647,3.4615
648,3.4615
649,3.4615
650,3.4615
651,3.4615
652,3.4615
653,3.4615
654,3.4615
655,3.4615
656,3.4314
657,3.4314
658,3.4314
659,3.4314
660,3.4314
661,3.4314
662,3.4314
663,3.4314
664,3.4314
665,3.4314
